ID,ADI,DURAK_KODU,geometry
579211,HZ.EBUBEKİR CAMİİ,131503,POINT (28.8681899999857 41.0352790005592)
579214,BESTE SOKAK,131692,POINT (28.8373479868796 41.0369179708469)
323,AYDINLI İLKOKULU,212311,POINT (29.3211069999944 40.8784810005346)
226,ERHAN SOKAK,260451,POINT (29.3661935396215 40.8544741132798)
265,TAHAFFUZHANE CADDESİ,210521,POINT (29.2983300000091 40.8181369991207)
305,PİYADE OKULU,212042,POINT (29.3282349999946 40.8276710005267)
16,ORHANLI MERKEZ,207951,POINT (29.3571380000084 40.8961619991191)
52,TELEFON SANTRALİ,209061,POINT (29.3220969999944 40.8694820005333)
142,TUZLA İSTASYONU,207781,POINT (29.3216989999945 40.8292940005269)
163,PEYAMİ SAFA İLKOKULU,207811,POINT (29.3082919999943 40.8505310005302)
388,CENGAVER SOKAK,225952,POINT (29.2833649999941 40.8180250005252)
407,NARİN SOKAK,228422,POINT (29.3602720126358 40.8377049763016)
363,İÇMELER KÖPRÜSÜ,225842,POINT (29.2982159999942 40.8497120005301)
573,SANAYİ CADDESİ,260532,POINT (29.3811649950094 40.7880740234735)
443,İSTANBUL PARK,229181,POINT (29.406772999018 40.9503329972758)
445,JANDARMA KARAKOLU,229191,POINT (29.4177939623434 40.9544050448053)
446,JANDARMA KARAKOLU,229192,POINT (29.4177360287048 40.9546090176428)
449,ATATÜRK CADDESİ,229211,POINT (29.4593159999955 40.9738280005498)
450,ATATÜRK CADDESİ,229212,POINT (29.4594269999955 40.9738460005499)
456,BİRLİK ORGANİZE SANAYİ,229242,POINT (29.389202999995 40.8771560005345)
457,6.SOKAK,229251,POINT (29.391061048433 40.8772640235784)
293626,TOPÇULAR,112992,POINT (29.0285409763004 41.2209530426081)
293627,ÇAYIRBAŞI,113001,POINT (29.0348399683754 41.1558149985463)
293629,ÇAYIRBAŞI FİDANLIK,113011,POINT (29.0308190449227 41.1556449741158)
293630,ÇAYIRBAŞI FİDANLIK,113012,POINT (29.0317429999899 41.1553750005788)
293633,KOZDERE,113031,POINT (29.0213750354806 41.1590599812424)
293634,KOZDERE,113032,POINT (29.0212759754619 41.1589670083665)
293635,FINDIKSUYU,113041,POINT (29.0109070392434 41.1648310175645)
293638,SULAR,113062,POINT (29.0008359978177 41.1671600282861)
293639,KEMER,113071,POINT (28.9909289756887 41.1709889930596)
293641,KEMERBURGAZ YOLU,113081,POINT (28.9904630000117 41.1733679991132)
293646,KÖY YOLU,113102,POINT (28.989715658905 41.1777097561701)
293650,ZEKERİYAKÖY KAVŞAĞI,113151,POINT (29.0315199645887 41.1954999764244)
293653,KEFELİKÖY,113172,POINT (29.0360659999899 41.1533050005783)
293656,HACIOSMAN,113183,POINT (29.0289950057105 41.1405489782681)
293657,FATİH ORMANI,113191,POINT (29.0248650358615 41.134471956013)
293659,DERBENT,113201,POINT (29.024221966825 41.1305910400611)
293662,FATİH PARK ORMANI,113212,POINT (29.0239879879719 41.1274010150937)
293664,ATATÜRK OTO SANAYİ,113222,POINT (29.0245249999898 41.1174120005726)
293665,SARIYER BELEDİYESİ,113231,POINT (29.0246859999898 41.1132700005719)
293669,MASLAK,113252,POINT (29.0209720086216 41.1085509961235)
293670,MASLAK,113253,POINT (29.0253509747438 41.1102990062927)
293674,İTÜ REKTÖRLÜĞÜ,113262,POINT (29.0210890042676 41.1082049870038)
293675,MASLAK KAVŞAĞI,113271,POINT (29.013831959068 41.1065039925643)
579216,HALK SARAYI,131722,POINT (28.8356049649125 41.0431579788275)
579217,İNÖNÜ MAHALLESİ,131741,POINT (28.849065999985 41.0251550005576)
579219,YEL DEĞİRMENİ,131872,POINT (28.8336619999842 41.0536350005621)
579221,FÜRUZAN SADIKOĞLU ORTAOKULU,131891,POINT (28.8368840376349 41.0577619869283)
579222,FÜRUZAN SADIKOĞLU ORTAOKULU,131892,POINT (28.8366709999843 41.0577740005628)
579223,ESENLER CADDESİ,132321,POINT (28.8640049999855 41.0333250005589)
579225,BAŞAK SOKAK,132421,POINT (28.8324539999842 41.0455600005609)
579228,OKUL,133541,POINT (28.8145359999835 41.0240820005573)
579229,ENGELLİLER SARAYI,133591,POINT (28.8379929999845 41.0306470005584)
579233,PAPATYA,133902,POINT (28.8589469726711 41.0376280240923)
579235,TAŞOCAĞI CADDESİ,164871,POINT (28.8119841476796 41.0482143942844)
579237,ATLAS CADDESİ,164882,POINT (28.8206909999837 41.0496970005615)
579239,HACI BOSTAN,164912,POINT (28.8134930244624 41.0575090019073)
579248,KIŞLA CADDESİ,165051,POINT (28.8530700167658 41.0647120086963)
579254,İSTOÇ  CAMİİ,166051,POINT (28.8282689999839 41.0644960005639)
579258,MEZARLIK,177151,POINT (28.8294309999838 41.0464460005608)
579259,MEVLANA CADDESİ,177401,POINT (28.8439680491466 41.0292589605578)
579263,ATEŞTUĞLA,301441,POINT (28.8352628152588 41.0447668430915)
579264,ATEŞTUĞLA,302441,POINT (28.8349929999843 41.0449340005607)
580374,YENİDÜNYA SİTESİ,217732,POINT (29.1736899999925 41.0063020005549)
579969,OKÇULAR TEKKESİ,119122,POINT (28.9605550207241 41.041945833989)
580033,NURETTİN TOPÇU İLKOKULU,200022,POINT (29.1558109999922 41.0305130005588)
580405,PARSELLER MAHALLESİ,218101,POINT (29.1534620000107 41.0330609991162)
579845,BİLAL HABEŞİ CAMİİ,121121,POINT (28.9616759999885 41.0634120005639)
579707,ARMAĞAN SOKAK,115761,POINT (28.9932199999892 41.0860060005675)
579691,YEŞİLCE MAHALLESİ,115082,POINT (28.9969869999893 41.0963200005692)
580594,ÜMRANİYE ANADOLU LİSESİ,224021,POINT (29.0961830337284 41.0160129862312)
579178,B SOKAK,129881,POINT (28.8495760151823 41.0318539894571)
